yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2013,AL,Percent of adults aged 18 years and older who have obesity,36.6,32.4,41.1,"1,115",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2013,AL,Percent of adults aged 18 years and older who have obesity,33.1,27.9,38.7,588,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2013,AL,Percent of adults aged 18 years and older who have obesity,31.1,26.7,35.8,656,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2013,AL,Percent of adults aged 18 years and older who have obesity,35.8,31.1,40.9,719,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2013,AL,Percent of adults aged 18 years and older who have obesity,26.9,23.4,30.7,"1,029",,,,,"$75,000 or greater",,"$75,000 or greater"
2013,AL,Percent of adults aged 18 years and older who have obesity,19.0,14.4,24.5,264,,18 - 24,,,,,18 - 24
2013,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,2 or more races,2 or more races
2013,AL,Percent of adults aged 18 years and older who have obesity,30.4,25.6,35.7,491,,25 - 34,,,,,25 - 34
2013,AL,Percent of adults aged 18 years and older who have obesity,36.7,32.2,41.6,649,,35 - 44,,,,,35 - 44
2013,AL,Percent of adults aged 18 years and older who have obesity,40.0,36.2,43.8,"1,003",,45 - 54,,,,,45 - 54
2013,AL,Percent of adults aged 18 years and older who have obesity,37.1,34.1,40.3,"1,509",,55 - 64,,,,,55 - 64
2013,AL,Percent of adults aged 18 years and older who have obesity,28.4,26.0,30.9,"2,328",,65 or older,,,,,65 or older
2013,AL,Percent of adults aged 18 years and older who have obesity,46.2,29.6,63.8,74,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2013,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2013,AL,Percent of adults aged 18 years and older who have obesity,27.6,24.8,30.5,"1,658",,,College graduate,,,,College graduate
2013,AL,Percent of adults aged 18 years and older who have obesity,28.9,25.5,32.5,"1,255",,,,,Data not reported,,Data not reported
2013,AL,Percent of adults aged 18 years and older who have obesity,34.0,31.9,36.0,"4,065",,,,Female,,,Female
2013,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2013,AL,Percent of adults aged 18 years and older who have obesity,32.1,29.3,34.9,"1,994",,,High school graduate,,,,High school graduate
2013,AL,Percent of adults aged 18 years and older who have obesity,28.2,15.6,45.6,57,,,,,,Hispanic,Hispanic
2013,AL,Percent of adults aged 18 years and older who have obesity,37.2,32.5,42.1,882,,,,,"Less than $15,000",,"Less than $15,000"
2013,AL,Percent of adults aged 18 years and older who have obesity,33.8,29.0,38.8,766,,,Less than high school,,,,Less than high school
2013,AL,Percent of adults aged 18 years and older who have obesity,30.9,28.3,33.5,"2,179",,,,Male,,,Male
2013,AL,Percent of adults aged 18 years and older who have obesity,41.3,37.8,44.9,"1,506",,,,,,Non-Hispanic Black,Non-Hispanic Black
2013,AL,Percent of adults aged 18 years and older who have obesity,29.6,27.8,31.5,"4,453",,,,,,Non-Hispanic White,Non-Hispanic White
2013,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Other,Other
2013,AL,Percent of adults aged 18 years and older who have obesity,35.2,32.2,38.3,"1,813",,,Some college or technical sch,,,,Some college or technical school
2013,AL,Percent of adults aged 18 years and older who have obesity,32.4,30.8,34.1,"6,244",Total,,,,,,Total
2013,AK,Percent of adults aged 18 years and older who have obesity,32.7,26.6,39.3,514,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2013,AK,Percent of adults aged 18 years and older who have obesity,24.5,19.0,30.9,353,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2013,AK,Percent of adults aged 18 years and older who have obesity,31.7,26.3,37.7,510,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2013,AK,Percent of adults aged 18 years and older who have obesity,32.3,27.3,37.8,746,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
