yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2019,AL,Percent of adults who report consuming fruit less than one time daily,47.3,42.9,51.7,968,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2019,AL,Percent of adults who report consuming fruit less than one time daily,47.1,41.1,53.0,521,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2019,AL,Percent of adults who report consuming fruit less than one time daily,42.5,37.8,47.2,744,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2019,AL,Percent of adults who report consuming fruit less than one time daily,45.6,41.1,50.2,807,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2019,AL,Percent of adults who report consuming fruit less than one time daily,43.6,40.5,46.8,"1,478",,,,,"$75,000 or greater",,"$75,000 or greater"
2019,AL,Percent of adults who report consuming fruit less than one time daily,45.4,38.7,52.3,285,,18 - 24,,,,,18 - 24
2019,AL,Percent of adults who report consuming fruit less than one time daily,45.0,31.3,59.6,78,,,,,,2 or more races,2 or more races
2019,AL,Percent of adults who report consuming fruit less than one time daily,48.2,43.4,53.0,580,,25 - 34,,,,,25 - 34
2019,AL,Percent of adults who report consuming fruit less than one time daily,44.2,40.0,48.5,708,,35 - 44,,,,,35 - 44
2019,AL,Percent of adults who report consuming fruit less than one time daily,48.2,44.4,51.9,935,,45 - 54,,,,,45 - 54
2019,AL,Percent of adults who report consuming fruit less than one time daily,48.8,45.5,52.2,"1,371",,55 - 64,,,,,55 - 64
2019,AL,Percent of adults who report consuming fruit less than one time daily,42.9,40.4,45.4,"2,397",,65 or older,,,,,65 or older
2019,AL,Percent of adults who report consuming fruit less than one time daily,30.6,20.3,43.3,88,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2019,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Asian,Asian
2019,AL,Percent of adults who report consuming fruit less than one time daily,39.5,36.9,42.1,"2,086",,,College graduate,,,,College graduate
2019,AL,Percent of adults who report consuming fruit less than one time daily,48.7,44.8,52.7,"1,118",,,,,Data not reported,,Data not reported
2019,AL,Percent of adults who report consuming fruit less than one time daily,44.7,42.6,46.9,"3,747",,,,Female,,,Female
2019,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2019,AL,Percent of adults who report consuming fruit less than one time daily,48.5,45.4,51.5,"1,816",,,High school graduate,,,,High school graduate
2019,AL,Percent of adults who report consuming fruit less than one time daily,40.7,27.9,54.9,84,,,,,,Hispanic,Hispanic
2019,AL,Percent of adults who report consuming fruit less than one time daily,50.1,44.9,55.4,640,,,,,"Less than $15,000",,"Less than $15,000"
2019,AL,Percent of adults who report consuming fruit less than one time daily,49.0,43.6,54.5,556,,,Less than high school,,,,Less than high school
2019,AL,Percent of adults who report consuming fruit less than one time daily,47.7,45.2,50.2,"2,529",,,,Male,,,Male
2019,AL,Percent of adults who report consuming fruit less than one time daily,44.9,41.6,48.2,"1,552",,,,,,Non-Hispanic Black,Non-Hispanic Black
2019,AL,Percent of adults who report consuming fruit less than one time daily,47.4,45.5,49.4,"4,332",,,,,,Non-Hispanic White,Non-Hispanic White
2019,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Other,Other
2019,AL,Percent of adults who report consuming fruit less than one time daily,47.3,44.3,50.3,"1,807",,,Some college or technical sch,,,,Some college or technical school
2019,AL,Percent of adults who report consuming fruit less than one time daily,46.1,44.5,47.8,"6,276",Total,,,,,,Total
2019,AK,Percent of adults who report consuming fruit less than one time daily,44.8,34.8,55.4,269,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2019,AK,Percent of adults who report consuming fruit less than one time daily,47.4,34.3,61.0,154,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2019,AK,Percent of adults who report consuming fruit less than one time daily,39.7,31.1,49.1,258,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2019,AK,Percent of adults who report consuming fruit less than one time daily,43.1,35.2,51.3,384,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2019,AK,Percent of adults who report consuming fruit less than one time daily,38.9,34.5,43.4,"1,017",,,,,"$75,000 or greater",,"$75,000 or greater"
2019,AK,Percent of adults who report consuming fruit less than one time daily,49.0,38.5,59.5,143,,18 - 24,,,,,18 - 24
2019,AK,Percent of adults who report consuming fruit less than one time daily,54.0,39.3,68.1,119,,,,,,2 or more races,2 or more races
2019,AK,Percent of adults who report consuming fruit less than one time daily,45.1,37.0,53.5,275,,25 - 34,,,,,25 - 34
2019,AK,Percent of adults who report consuming fruit less than one time daily,45.3,38.1,52.8,373,,35 - 44,,,,,35 - 44
2019,AK,Percent of adults who report consuming fruit less than one time daily,44.2,37.0,51.6,382,,45 - 54,,,,,45 - 54
2019,AK,Percent of adults who report consuming fruit less than one time daily,37.1,31.8,42.8,649,,55 - 64,,,,,55 - 64
2019,AK,Percent of adults who report consuming fruit less than one time daily,37.2,32.2,42.4,818,,65 or older,,,,,65 or older
2019,AK,Percent of adults who report consuming fruit less than one time daily,49.3,40.4,58.2,283,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2019,AK,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Asian,Asian
2019,AK,Percent of adults who report consuming fruit less than one time daily,35.1,30.8,39.7,"1,060",,,College graduate,,,,College graduate
2019,AK,Percent of adults who report consuming fruit less than one time daily,47.3,39.7,55.1,412,,,,,Data not reported,,Data not reported
2019,AK,Percent of adults who report consuming fruit less than one time daily,41.1,36.7,45.6,"1,378",,,,Female,,,Female
2019,AK,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2019,AK,Percent of adults who report consuming fruit less than one time daily,45.4,39.8,51.1,709,,,High school graduate,,,,High school graduate
2019,AK,Percent of adults who report consuming fruit less than one time daily,38.1,24.1,54.5,60,,,,,,Hispanic,Hispanic
2019,AK,Percent of adults who report consuming fruit less than one time daily,51.5,37.0,65.7,146,,,,,"Less than $15,000",,"Less than $15,000"
2019,AK,Percent of adults who report consuming fruit less than one time daily,47.9,35.1,61.1,102,,,Less than high school,,,,Less than high school
2019,AK,Percent of adults who report consuming fruit less than one time daily,44.4,40.2,48.6,"1,262",,,,Male,,,Male
2019,AK,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Non-Hispanic Black,Non-Hispanic Black
2019,AK,Percent of adults who report consuming fruit less than one time daily,40.4,37.2,43.7,"1,989",,,,,,Non-Hispanic White,Non-Hispanic White
2019,AK,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Other,Other
2019,AK,Percent of adults who report consuming fruit less than one time daily,45.4,40.0,50.9,756,,,Some college or technical sch,,,,Some college or technical school
2019,AK,Percent of adults who report consuming fruit less than one time daily,42.8,39.8,45.9,"2,640",Total,,,,,,Total
2019,AZ,Percent of adults who report consuming fruit less than one time daily,39.2,34.0,44.6,"1,059",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,38.7,32.5,45.3,709,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,39.3,34.2,44.7,"1,001",,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,37.3,32.7,42.1,"1,122",,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,35.7,32.4,39.1,"1,973",,,,,"$75,000 or greater",,"$75,000 or greater"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,48.7,41.9,55.5,421,,18 - 24,,,,,18 - 24
2019,AZ,Percent of adults who report consuming fruit less than one time daily,48.6,32.0,65.5,115,,,,,,2 or more races,2 or more races
2019,AZ,Percent of adults who report consuming fruit less than one time daily,38.1,33.1,43.5,672,,25 - 34,,,,,25 - 34
2019,AZ,Percent of adults who report consuming fruit less than one time daily,34.8,29.9,40.1,772,,35 - 44,,,,,35 - 44
2019,AZ,Percent of adults who report consuming fruit less than one time daily,40.0,35.4,44.9,"1,010",,45 - 54,,,,,45 - 54
2019,AZ,Percent of adults who report consuming fruit less than one time daily,38.5,34.4,42.7,"1,524",,55 - 64,,,,,55 - 64
2019,AZ,Percent of adults who report consuming fruit less than one time daily,34.9,32.4,37.5,"3,360",,65 or older,,,,,65 or older
2019,AZ,Percent of adults who report consuming fruit less than one time daily,37.8,29.4,47.0,483,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2019,AZ,Percent of adults who report consuming fruit less than one time daily,25.1,14.2,40.6,70,,,,,,Asian,Asian
2019,AZ,Percent of adults who report consuming fruit less than one time daily,33.7,31.0,36.5,"2,910",,,College graduate,,,,College graduate
2019,AZ,Percent of adults who report consuming fruit less than one time daily,40.5,35.8,45.4,"1,261",,,,,Data not reported,,Data not reported
2019,AZ,Percent of adults who report consuming fruit less than one time daily,35.2,32.7,37.7,"4,216",,,,Female,,,Female
2019,AZ,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2019,AZ,Percent of adults who report consuming fruit less than one time daily,40.9,37.2,44.8,"1,803",,,High school graduate,,,,High school graduate
2019,AZ,Percent of adults who report consuming fruit less than one time daily,35.1,30.9,39.5,"1,109",,,,,,Hispanic,Hispanic
2019,AZ,Percent of adults who report consuming fruit less than one time daily,44.0,36.9,51.4,634,,,,,"Less than $15,000",,"Less than $15,000"
2019,AZ,Percent of adults who report consuming fruit less than one time daily,37.7,31.2,44.6,524,,,Less than high school,,,,Less than high school
2019,AZ,Percent of adults who report consuming fruit less than one time daily,41.9,39.2,44.8,"3,543",,,,Male,,,Male
2019,AZ,Percent of adults who report consuming fruit less than one time daily,44.3,34.6,54.6,172,,,,,,Non-Hispanic Black,Non-Hispanic Black
2019,AZ,Percent of adults who report consuming fruit less than one time daily,40.4,38.3,42.6,"5,520",,,,,,Non-Hispanic White,Non-Hispanic White
2019,AZ,Percent of adults who report consuming fruit less than one time daily,35.9,22.4,52.1,106,,,,,,Other,Other
2019,AZ,Percent of adults who report consuming fruit less than one time daily,40.6,37.5,43.8,"2,503",,,Some college or technical sch,,,,Some college or technical school
