yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2022,AL,Percent of adults aged 18 years and older who have obesity,46.1,39.5,52.8,455,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2022,AL,Percent of adults aged 18 years and older who have obesity,38.0,32.1,44.3,468,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2022,AL,Percent of adults aged 18 years and older who have obesity,42.3,36.4,48.4,448,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2022,AL,Percent of adults aged 18 years and older who have obesity,42.4,37.2,47.7,583,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2022,AL,Percent of adults aged 18 years and older who have obesity,37.6,31.5,44.1,420,,,,,"$75,000 or greater",,"$75,000 or greater"
2022,AL,Percent of adults aged 18 years and older who have obesity,19.8,13.9,27.4,182,,18 - 24,,,,,18 - 24
2022,AL,Percent of adults aged 18 years and older who have obesity,30.8,17.8,47.7,61,,,,,,2 or more races,2 or more races
2022,AL,Percent of adults aged 18 years and older who have obesity,37.4,31.9,43.3,390,,25 - 34,,,,,25 - 34
2022,AL,Percent of adults aged 18 years and older who have obesity,43.2,37.8,48.6,477,,35 - 44,,,,,35 - 44
2022,AL,Percent of adults aged 18 years and older who have obesity,48.1,43.2,53.0,579,,45 - 54,,,,,45 - 54
2022,AL,Percent of adults aged 18 years and older who have obesity,41.6,37.4,46.0,830,,55 - 64,,,,,55 - 64
2022,AL,Percent of adults aged 18 years and older who have obesity,36.3,33.2,39.4,"1,750",,65 or older,,,,,65 or older
2022,AL,Percent of adults aged 18 years and older who have obesity,37.4,20.3,58.4,50,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2022,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2022,AL,Percent of adults aged 18 years and older who have obesity,36.3,33.2,39.6,"1,415",,,College graduate,,,,College graduate
2022,AL,Percent of adults aged 18 years and older who have obesity,33.8,30.8,37.0,"1,584",,,,,Data not reported,,Data not reported
2022,AL,Percent of adults aged 18 years and older who have obesity,40.6,37.9,43.4,"2,448",,,,Female,,,Female
2022,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2022,AL,Percent of adults aged 18 years and older who have obesity,40.0,36.3,43.8,"1,166",,,High school graduate,,,,High school graduate
2022,AL,Percent of adults aged 18 years and older who have obesity,33.4,21.2,48.3,75,,,,,,Hispanic,Hispanic
2022,AL,Percent of adults aged 18 years and older who have obesity,39.5,31.0,48.8,250,,,,,"Less than $15,000",,"Less than $15,000"
2022,AL,Percent of adults aged 18 years and older who have obesity,32.6,26.2,39.6,340,,,Less than high school,,,,Less than high school
2022,AL,Percent of adults aged 18 years and older who have obesity,35.8,32.9,38.8,"1,760",,,,Male,,,Male
2022,AL,Percent of adults aged 18 years and older who have obesity,50.2,46.1,54.3,"1,174",,,,,,Non-Hispanic Black,Non-Hispanic Black
2022,AL,Percent of adults aged 18 years and older who have obesity,35.1,32.8,37.5,"2,747",,,,,,Non-Hispanic White,Non-Hispanic White
2022,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Other,Other
2022,AL,Percent of adults aged 18 years and older who have obesity,40.5,37.0,44.1,"1,277",,,Some college or technical sch,,,,Some college or technical school
2022,AL,Percent of adults aged 18 years and older who have obesity,38.3,36.3,40.3,"4,208",Total,,,,,,Total
2022,AK,Percent of adults aged 18 years and older who have obesity,45.0,36.8,53.4,325,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2022,AK,Percent of adults aged 18 years and older who have obesity,33.3,27.4,39.9,410,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
