yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2016,AL,Percent of adults aged 18 years and older who have obesity,40.4,36.5,44.4,"1,088",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2016,AL,Percent of adults aged 18 years and older who have obesity,35.3,30.3,40.8,600,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2016,AL,Percent of adults aged 18 years and older who have obesity,37.5,32.7,42.6,712,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2016,AL,Percent of adults aged 18 years and older who have obesity,34.4,30.3,38.7,817,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2016,AL,Percent of adults aged 18 years and older who have obesity,34.5,31.2,37.9,"1,306",,,,,"$75,000 or greater",,"$75,000 or greater"
2016,AL,Percent of adults aged 18 years and older who have obesity,22.6,18.3,27.5,412,,18 - 24,,,,,18 - 24
2016,AL,Percent of adults aged 18 years and older who have obesity,29.9,19.9,42.3,95,,,,,,2 or more races,2 or more races
2016,AL,Percent of adults aged 18 years and older who have obesity,33.5,29.1,38.2,717,,25 - 34,,,,,25 - 34
2016,AL,Percent of adults aged 18 years and older who have obesity,43.0,38.7,47.3,793,,35 - 44,,,,,35 - 44
2016,AL,Percent of adults aged 18 years and older who have obesity,43.5,39.7,47.4,"1,060",,45 - 54,,,,,45 - 54
2016,AL,Percent of adults aged 18 years and older who have obesity,40.7,37.5,43.9,"1,402",,55 - 64,,,,,55 - 64
2016,AL,Percent of adults aged 18 years and older who have obesity,29.6,27.2,32.1,"2,142",,65 or older,,,,,65 or older
2016,AL,Percent of adults aged 18 years and older who have obesity,32.9,18.6,51.3,72,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2016,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2016,AL,Percent of adults aged 18 years and older who have obesity,30.5,27.9,33.2,"1,817",,,College graduate,,,,College graduate
2016,AL,Percent of adults aged 18 years and older who have obesity,30.1,26.6,33.8,"1,175",,,,,Data not reported,,Data not reported
2016,AL,Percent of adults aged 18 years and older who have obesity,35.2,33.3,37.3,"3,815",,,,Female,,,Female
2016,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2016,AL,Percent of adults aged 18 years and older who have obesity,36.2,33.4,39.0,"2,062",,,High school graduate,,,,High school graduate
2016,AL,Percent of adults aged 18 years and older who have obesity,29.8,19.2,43.3,76,,,,,,Hispanic,Hispanic
2016,AL,Percent of adults aged 18 years and older who have obesity,39.8,35.3,44.5,828,,,,,"Less than $15,000",,"Less than $15,000"
2016,AL,Percent of adults aged 18 years and older who have obesity,40.1,35.4,45.0,739,,,Less than high school,,,,Less than high school
2016,AL,Percent of adults aged 18 years and older who have obesity,36.2,33.8,38.6,"2,711",,,,Male,,,Male
2016,AL,Percent of adults aged 18 years and older who have obesity,44.0,40.9,47.2,"1,728",,,,,,Non-Hispanic Black,Non-Hispanic Black
2016,AL,Percent of adults aged 18 years and older who have obesity,33.5,31.7,35.3,"4,423",,,,,,Non-Hispanic White,Non-Hispanic White
2016,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Other,Other
2016,AL,Percent of adults aged 18 years and older who have obesity,36.3,33.5,39.1,"1,894",,,Some college or technical sch,,,,Some college or technical school
2016,AL,Percent of adults aged 18 years and older who have obesity,35.7,34.2,37.3,"6,526",Total,,,,,,Total
2016,AK,Percent of adults aged 18 years and older who have obesity,36.3,27.8,45.6,318,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2016,AK,Percent of adults aged 18 years and older who have obesity,41.5,31.6,52.1,230,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2016,AK,Percent of adults aged 18 years and older who have obesity,30.1,21.9,39.7,283,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2016,AK,Percent of adults aged 18 years and older who have obesity,31.2,24.6,38.7,390,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2016,AK,Percent of adults aged 18 years and older who have obesity,30.3,26.0,35.1,"1,045",,,,,"$75,000 or greater",,"$75,000 or greater"
2016,AK,Percent of adults aged 18 years and older who have obesity,15.1,9.4,23.4,177,,18 - 24,,,,,18 - 24
2016,AK,Percent of adults aged 18 years and older who have obesity,29.2,18.0,43.6,112,,,,,,2 or more races,2 or more races
2016,AK,Percent of adults aged 18 years and older who have obesity,31.2,24.1,39.2,279,,25 - 34,,,,,25 - 34
2016,AK,Percent of adults aged 18 years and older who have obesity,40.3,32.6,48.5,356,,35 - 44,,,,,35 - 44
2016,AK,Percent of adults aged 18 years and older who have obesity,35.0,29.0,41.6,483,,45 - 54,,,,,45 - 54
2016,AK,Percent of adults aged 18 years and older who have obesity,30.0,25.2,35.4,706,,55 - 64,,,,,55 - 64
2016,AK,Percent of adults aged 18 years and older who have obesity,35.3,28.6,42.7,738,,65 or older,,,,,65 or older
2016,AK,Percent of adults aged 18 years and older who have obesity,43.1,35.6,50.9,433,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2016,AK,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2016,AK,Percent of adults aged 18 years and older who have obesity,21.7,18.1,25.9,973,,,College graduate,,,,College graduate
2016,AK,Percent of adults aged 18 years and older who have obesity,27.0,19.2,36.6,250,,,,,Data not reported,,Data not reported
2016,AK,Percent of adults aged 18 years and older who have obesity,30.3,26.4,34.5,"1,405",,,,Female,,,Female
2016,AK,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2016,AK,Percent of adults aged 18 years and older who have obesity,27.9,23.1,33.2,767,,,High school graduate,,,,High school graduate
2016,AK,Percent of adults aged 18 years and older who have obesity,29.9,17.6,46.1,85,,,,,,Hispanic,Hispanic
2016,AK,Percent of adults aged 18 years and older who have obesity,27.6,16.8,41.7,223,,,,,"Less than $15,000",,"Less than $15,000"
2016,AK,Percent of adults aged 18 years and older who have obesity,32.8,21.3,46.8,153,,,Less than high school,,,,Less than high school
2016,AK,Percent of adults aged 18 years and older who have obesity,32.3,28.3,36.6,"1,334",,,,Male,,,Male
