yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2017,AL,Percent of adults who report consuming fruit less than one time daily,46.4,42.1,50.7,"1,002",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2017,AL,Percent of adults who report consuming fruit less than one time daily,46.2,40.2,52.4,518,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2017,AL,Percent of adults who report consuming fruit less than one time daily,45.5,40.6,50.5,708,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2017,AL,Percent of adults who report consuming fruit less than one time daily,42.7,38.1,47.5,723,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2017,AL,Percent of adults who report consuming fruit less than one time daily,39.5,35.9,43.3,"1,217",,,,,"$75,000 or greater",,"$75,000 or greater"
2017,AL,Percent of adults who report consuming fruit less than one time daily,42.1,35.5,48.9,309,,18 - 24,,,,,18 - 24
2017,AL,Percent of adults who report consuming fruit less than one time daily,36.6,25.1,49.8,104,,,,,,2 or more races,2 or more races
2017,AL,Percent of adults who report consuming fruit less than one time daily,45.4,40.5,50.5,584,,25 - 34,,,,,25 - 34
2017,AL,Percent of adults who report consuming fruit less than one time daily,44.1,39.6,48.7,694,,35 - 44,,,,,35 - 44
2017,AL,Percent of adults who report consuming fruit less than one time daily,52.6,48.7,56.5,996,,45 - 54,,,,,45 - 54
2017,AL,Percent of adults who report consuming fruit less than one time daily,47.7,44.4,51.1,"1,317",,55 - 64,,,,,55 - 64
2017,AL,Percent of adults who report consuming fruit less than one time daily,38.1,35.6,40.6,"2,240",,65 or older,,,,,65 or older
2017,AL,Percent of adults who report consuming fruit less than one time daily,56.4,41.0,70.5,77,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2017,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Asian,Asian
2017,AL,Percent of adults who report consuming fruit less than one time daily,34.8,32.0,37.7,"1,833",,,College graduate,,,,College graduate
2017,AL,Percent of adults who report consuming fruit less than one time daily,47.4,43.4,51.4,"1,235",,,,,Data not reported,,Data not reported
2017,AL,Percent of adults who report consuming fruit less than one time daily,42.2,40.0,44.4,"3,685",,,,Female,,,Female
2017,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2017,AL,Percent of adults who report consuming fruit less than one time daily,46.9,43.7,50.0,"1,816",,,High school graduate,,,,High school graduate
2017,AL,Percent of adults who report consuming fruit less than one time daily,26.9,16.3,40.9,77,,,,,,Hispanic,Hispanic
2017,AL,Percent of adults who report consuming fruit less than one time daily,49.2,44.1,54.3,737,,,,,"Less than $15,000",,"Less than $15,000"
2017,AL,Percent of adults who report consuming fruit less than one time daily,56.1,51.3,60.9,707,,,Less than high school,,,,Less than high school
2017,AL,Percent of adults who report consuming fruit less than one time daily,47.9,45.2,50.5,"2,452",,,,Male,,,Male
2017,AL,Percent of adults who report consuming fruit less than one time daily,44.1,40.6,47.7,"1,501",,,,,,Non-Hispanic Black,Non-Hispanic Black
2017,AL,Percent of adults who report consuming fruit less than one time daily,46.3,44.3,48.3,"4,195",,,,,,Non-Hispanic White,Non-Hispanic White
2017,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Other,Other
2017,AL,Percent of adults who report consuming fruit less than one time daily,44.7,41.5,47.9,"1,769",,,Some college or technical sch,,,,Some college or technical school
