yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2021,AL,Percent of adults who report consuming fruit less than one time daily,48.0,41.3,54.8,393,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2021,AL,Percent of adults who report consuming fruit less than one time daily,42.4,36.3,48.7,457,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.1,43.2,54.9,486,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2021,AL,Percent of adults who report consuming fruit less than one time daily,47.7,42.4,53.1,559,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.7,43.6,55.7,440,,,,,"$75,000 or greater",,"$75,000 or greater"
2021,AL,Percent of adults who report consuming fruit less than one time daily,44.8,37.0,52.9,223,,18 - 24,,,,,18 - 24
2021,AL,Percent of adults who report consuming fruit less than one time daily,45.6,31.9,60.0,80,,,,,,2 or more races,2 or more races
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.4,43.7,55.1,419,,25 - 34,,,,,25 - 34
2021,AL,Percent of adults who report consuming fruit less than one time daily,44.5,39.2,49.8,507,,35 - 44,,,,,35 - 44
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.2,44.3,54.0,577,,45 - 54,,,,,45 - 54
2021,AL,Percent of adults who report consuming fruit less than one time daily,48.4,44.1,52.8,809,,55 - 64,,,,,55 - 64
2021,AL,Percent of adults who report consuming fruit less than one time daily,41.1,38.0,44.3,"1,642",,65 or older,,,,,65 or older
2021,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2021,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Asian,Asian
2021,AL,Percent of adults who report consuming fruit less than one time daily,40.5,37.5,43.5,"1,566",,,College graduate,,,,College graduate
2021,AL,Percent of adults who report consuming fruit less than one time daily,43.3,40.1,46.6,"1,590",,,,,Data not reported,,Data not reported
2021,AL,Percent of adults who report consuming fruit less than one time daily,44.8,42.1,47.4,"2,503",,,,Female,,,Female
2021,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.3,45.5,53.1,"1,113",,,High school graduate,,,,High school graduate
2021,AL,Percent of adults who report consuming fruit less than one time daily,42.6,28.9,57.5,72,,,,,,Hispanic,Hispanic
2021,AL,Percent of adults who report consuming fruit less than one time daily,47.2,39.3,55.3,252,,,,,"Less than $15,000",,"Less than $15,000"
2021,AL,Percent of adults who report consuming fruit less than one time daily,44.4,37.5,51.7,311,,,Less than high school,,,,Less than high school
2021,AL,Percent of adults who report consuming fruit less than one time daily,47.1,44.0,50.2,"1,674",,,,Male,,,Male
2021,AL,Percent of adults who report consuming fruit less than one time daily,37.5,33.6,41.5,"1,039",,,,,,Non-Hispanic Black,Non-Hispanic Black
2021,AL,Percent of adults who report consuming fruit less than one time daily,49.6,47.2,52.0,"2,854",,,,,,Non-Hispanic White,Non-Hispanic White
2021,AL,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Other,Other
2021,AL,Percent of adults who report consuming fruit less than one time daily,47.6,44.0,51.2,"1,177",,,Some college or technical sch,,,,Some college or technical school
2021,AL,Percent of adults who report consuming fruit less than one time daily,45.9,43.9,47.9,"4,177",Total,,,,,,Total
2021,AK,Percent of adults who report consuming fruit less than one time daily,50.1,41.3,58.8,335,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2021,AK,Percent of adults who report consuming fruit less than one time daily,44.6,37.8,51.6,419,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2021,AK,Percent of adults who report consuming fruit less than one time daily,45.5,38.8,52.5,492,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2021,AK,Percent of adults who report consuming fruit less than one time daily,36.9,31.8,42.3,721,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2021,AK,Percent of adults who report consuming fruit less than one time daily,41.8,36.1,47.7,704,,,,,"$75,000 or greater",,"$75,000 or greater"
2021,AK,Percent of adults who report consuming fruit less than one time daily,44.1,36.3,52.3,258,,18 - 24,,,,,18 - 24
2021,AK,Percent of adults who report consuming fruit less than one time daily,47.5,38.9,56.3,263,,,,,,2 or more races,2 or more races
2021,AK,Percent of adults who report consuming fruit less than one time daily,46.3,40.9,51.9,589,,25 - 34,,,,,25 - 34
2021,AK,Percent of adults who report consuming fruit less than one time daily,42.9,37.6,48.3,691,,35 - 44,,,,,35 - 44
2021,AK,Percent of adults who report consuming fruit less than one time daily,43.7,38.8,48.8,760,,45 - 54,,,,,45 - 54
2021,AK,Percent of adults who report consuming fruit less than one time daily,39.8,35.5,44.2,"1,017",,55 - 64,,,,,55 - 64
2021,AK,Percent of adults who report consuming fruit less than one time daily,37.8,34.2,41.6,"1,528",,65 or older,,,,,65 or older
2021,AK,Percent of adults who report consuming fruit less than one time daily,51.1,44.2,57.8,522,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2021,AK,Percent of adults who report consuming fruit less than one time daily,53.4,40.7,65.7,103,,,,,,Asian,Asian
2021,AK,Percent of adults who report consuming fruit less than one time daily,33.1,30.1,36.2,"1,984",,,College graduate,,,,College graduate
2021,AK,Percent of adults who report consuming fruit less than one time daily,40.9,37.5,44.4,"1,948",,,,,Data not reported,,Data not reported
2021,AK,Percent of adults who report consuming fruit less than one time daily,40.4,37.3,43.5,"2,389",,,,Female,,,Female
2021,AK,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2021,AK,Percent of adults who report consuming fruit less than one time daily,47.7,43.5,52.0,"1,194",,,High school graduate,,,,High school graduate
2021,AK,Percent of adults who report consuming fruit less than one time daily,42.4,32.7,52.7,164,,,,,,Hispanic,Hispanic
2021,AK,Percent of adults who report consuming fruit less than one time daily,52.2,43.2,60.9,224,,,,,"Less than $15,000",,"Less than $15,000"
2021,AK,Percent of adults who report consuming fruit less than one time daily,49.3,39.7,58.9,193,,,Less than high school,,,,Less than high school
2021,AK,Percent of adults who report consuming fruit less than one time daily,44.3,41.3,47.3,"2,454",,,,Male,,,Male
2021,AK,Percent of adults who report consuming fruit less than one time daily,35.4,24.0,48.7,81,,,,,,Non-Hispanic Black,Non-Hispanic Black
2021,AK,Percent of adults who report consuming fruit less than one time daily,40.2,37.9,42.7,"3,459",,,,,,Non-Hispanic White,Non-Hispanic White
2021,AK,Percent of adults who report consuming fruit less than one time daily,21.9,11.6,37.5,72,,,,,,Other,Other
2021,AK,Percent of adults who report consuming fruit less than one time daily,43.8,40.1,47.7,"1,452",,,Some college or technical sch,,,,Some college or technical school
2021,AK,Percent of adults who report consuming fruit less than one time daily,42.4,40.3,44.6,"4,843",Total,,,,,,Total
2021,AZ,Percent of adults who report consuming fruit less than one time daily,41.1,36.5,45.9,886,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2021,AZ,Percent of adults who report consuming fruit less than one time daily,37.9,33.7,42.2,"1,088",,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2021,AZ,Percent of adults who report consuming fruit less than one time daily,44.1,40.1,48.2,"1,167",,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2021,AZ,Percent of adults who report consuming fruit less than one time daily,42.5,38.9,46.2,"1,424",,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2021,AZ,Percent of adults who report consuming fruit less than one time daily,43.6,39.5,47.9,"1,057",,,,,"$75,000 or greater",,"$75,000 or greater"
2021,AZ,Percent of adults who report consuming fruit less than one time daily,50.7,45.7,55.7,568,,18 - 24,,,,,18 - 24
2021,AZ,Percent of adults who report consuming fruit less than one time daily,51.2,41.3,61.0,175,,,,,,2 or more races,2 or more races
