yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2011,AL,Percent of adults aged 18 years and older who have obesity,34.8,31.3,38.5,"1,367",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2011,AL,Percent of adults aged 18 years and older who have obesity,35.8,31.1,40.8,757,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2011,AL,Percent of adults aged 18 years and older who have obesity,32.3,28.0,36.8,861,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2011,AL,Percent of adults aged 18 years and older who have obesity,34.1,29.7,38.8,785,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2011,AL,Percent of adults aged 18 years and older who have obesity,28.8,25.4,32.5,"1,125",,,,,"$75,000 or greater",,"$75,000 or greater"
2011,AL,Percent of adults aged 18 years and older who have obesity,16.3,12.6,20.9,356,,18 - 24,,,,,18 - 24
2011,AL,Percent of adults aged 18 years and older who have obesity,27.8,14.4,46.9,58,,,,,,2 or more races,2 or more races
2011,AL,Percent of adults aged 18 years and older who have obesity,35.2,30.7,40.0,598,,25 - 34,,,,,25 - 34
2011,AL,Percent of adults aged 18 years and older who have obesity,35.5,31.6,39.6,865,,35 - 44,,,,,35 - 44
2011,AL,Percent of adults aged 18 years and older who have obesity,38.0,34.5,41.5,"1,288",,45 - 54,,,,,45 - 54
2011,AL,Percent of adults aged 18 years and older who have obesity,36.4,33.4,39.5,"1,676",,55 - 64,,,,,55 - 64
2011,AL,Percent of adults aged 18 years and older who have obesity,27.1,24.9,29.3,"2,521",,65 or older,,,,,65 or older
2011,AL,Percent of adults aged 18 years and older who have obesity,32.9,18.4,51.7,61,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2011,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2011,AL,Percent of adults aged 18 years and older who have obesity,26.4,23.7,29.3,"1,812",,,College graduate,,,,College graduate
2011,AL,Percent of adults aged 18 years and older who have obesity,23.8,20.7,27.3,"1,297",,,,,Data not reported,,Data not reported
2011,AL,Percent of adults aged 18 years and older who have obesity,31.8,30.0,33.6,"4,723",,,,Female,,,Female
2011,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2011,AL,Percent of adults aged 18 years and older who have obesity,32.8,30.2,35.6,"2,402",,,High school graduate,,,,High school graduate
2011,AL,Percent of adults aged 18 years and older who have obesity,28.6,17.5,43.1,115,,,,,,Hispanic,Hispanic
2011,AL,Percent of adults aged 18 years and older who have obesity,38.5,34.4,42.8,"1,112",,,,,"Less than $15,000",,"Less than $15,000"
2011,AL,Percent of adults aged 18 years and older who have obesity,33.6,29.9,37.6,"1,153",,,Less than high school,,,,Less than high school
2011,AL,Percent of adults aged 18 years and older who have obesity,32.3,29.9,34.7,"2,581",,,,Male,,,Male
2011,AL,Percent of adults aged 18 years and older who have obesity,40.1,36.9,43.3,"1,878",,,,,,Non-Hispanic Black,Non-Hispanic Black
2011,AL,Percent of adults aged 18 years and older who have obesity,29.8,28.0,31.6,"5,042",,,,,,Non-Hispanic White,Non-Hispanic White
2011,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Other,Other
2011,AL,Percent of adults aged 18 years and older who have obesity,33.8,31.0,36.8,"1,925",,,Some college or technical sch,,,,Some college or technical school
2011,AL,Percent of adults aged 18 years and older who have obesity,32.0,30.5,33.5,"7,304",Total,,,,,,Total
2011,AK,Percent of adults aged 18 years and older who have obesity,30.2,24.1,37.2,377,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
