yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2018,AL,Percent of adults aged 18 years and older who have obesity,38.4,34.2,42.8,937,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2018,AL,Percent of adults aged 18 years and older who have obesity,35.1,30.2,40.3,556,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2018,AL,Percent of adults aged 18 years and older who have obesity,37.7,33.0,42.6,688,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2018,AL,Percent of adults aged 18 years and older who have obesity,38.6,33.9,43.6,758,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2018,AL,Percent of adults aged 18 years and older who have obesity,32.1,29.0,35.3,"1,353",,,,,"$75,000 or greater",,"$75,000 or greater"
2018,AL,Percent of adults aged 18 years and older who have obesity,19.3,14.7,24.9,279,,18 - 24,,,,,18 - 24
2018,AL,Percent of adults aged 18 years and older who have obesity,37.2,24.7,51.7,87,,,,,,2 or more races,2 or more races
2018,AL,Percent of adults aged 18 years and older who have obesity,38.1,33.2,43.2,562,,25 - 34,,,,,25 - 34
2018,AL,Percent of adults aged 18 years and older who have obesity,42.0,37.7,46.4,719,,35 - 44,,,,,35 - 44
2018,AL,Percent of adults aged 18 years and older who have obesity,39.8,36.2,43.6,969,,45 - 54,,,,,45 - 54
2018,AL,Percent of adults aged 18 years and older who have obesity,43.7,40.4,47.0,"1,364",,55 - 64,,,,,55 - 64
2018,AL,Percent of adults aged 18 years and older who have obesity,31.8,29.4,34.2,"2,251",,65 or older,,,,,65 or older
2018,AL,Percent of adults aged 18 years and older who have obesity,25.4,14.5,40.5,68,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2018,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2018,AL,Percent of adults aged 18 years and older who have obesity,29.4,26.9,32.0,"1,906",,,College graduate,,,,College graduate
2018,AL,Percent of adults aged 18 years and older who have obesity,33.5,29.8,37.3,"1,224",,,,,Data not reported,,Data not reported
2018,AL,Percent of adults aged 18 years and older who have obesity,37.8,35.7,40.0,"3,517",,,,Female,,,Female
2018,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2018,AL,Percent of adults aged 18 years and older who have obesity,36.6,33.7,39.6,"1,854",,,High school graduate,,,,High school graduate
2018,AL,Percent of adults aged 18 years and older who have obesity,30.8,18.6,46.4,78,,,,,,Hispanic,Hispanic
2018,AL,Percent of adults aged 18 years and older who have obesity,43.7,38.4,49.0,628,,,,,"Less than $15,000",,"Less than $15,000"
2018,AL,Percent of adults aged 18 years and older who have obesity,39.2,34.4,44.3,649,,,Less than high school,,,,Less than high school
